"FirstName","LastName","SSN","Email","Phone","Address","DateOfBirth"
"John","Doe","123-45-6789","john.doe@example.com","555-123-4567","123 Elm Street","1985-06-15"
"Jane","Smith","987-65-4321","jane.smith@example.com","555-987-6543","456 Oak Avenue","1990-09-30"
"Robert","Brown","111-22-3333","robert.brown@example.com","555-111-2222","789 Pine Road","1978-12-05"
"Emily","Davis","444-55-6666","emily.davis@example.com","555-333-4444","321 Maple Lane","1992-03-22"
"Michael","Johnson","777-88-9999","michael.johnson@example.com","555-555-6666","654 Spruce Street","1980-08-18"
"Sarah","Wilson","222-33-4444","sarah.wilson@example.com","555-777-8888","987 Birch Boulevard","1987-11-11"
"David","Martinez","555-66-7777","david.martinez@example.com","555-999-0000","159 Cedar Court","1995-05-27"
"Laura","Garcia","888-99-0000","laura.garcia@example.com","555-222-3333","753 Walnut Way","1983-07-09"
"James","Anderson","333-44-5555","james.anderson@example.com","555-444-5555","852 Cherry Circle","1975-02-14"
"Olivia","Thomas","666-77-8888","olivia.thomas@example.com","555-666-7777","951 Poplar Place","1991-10-02"
